NGC,Name,Type,Constellation,Magnitude,RA,Dec,Size
6478,,Gx,Dra,14.0,17.81,51.15,1.9
6440,,Gb,Sgr,9.7,17.815,-20.366666666666667,5.4
I4664,,Gx,Pav,,17.816666666666666,-63.25,1.7
6437,,-,Sco,,17.818333333333335,-35.43333333333333,
6445,Little Gem,Pl,Sgr,13.0,17.82,-20.016666666666666,0.6
6458,,Gx,Her,15.0,17.82,20.816666666666666,
6488,,Gx,Dra,14.0,17.821666666666665,62.233333333333334,
6503,,Gx,Dra,10.2,17.823333333333334,70.15,6.2
6444,,OC,Sco,,17.825,-34.81666666666667,12.0
6460,,Gx,Her,14.0,17.826666666666668,20.766666666666666,
6508,,Gx,Dra,14.0,17.831666666666667,72.03333333333333,
6489,,Gx,Dra,15.0,17.833333333333332,60.1,
6491,,Gx,Dra,14.0,17.835,61.53333333333333,
6441,,Gb,Sco,7.4,17.836666666666666,-37.05,7.8
6493,,Gx,Dra,,17.84,61.55,1.4
6451,,OC,Sco,8.0,17.845,-30.216666666666665,8.0
6467,,Gx,Her,15.0,17.845,17.533333333333335,2.7
6468,,Gx,Her,14.0,17.845,17.533333333333335,2.3
I1268,,,Her,,17.845,17.216666666666665,
6453,,Gb,Sco,9.9,17.848333333333333,-34.6,3.5
6498,,-,Dra,,17.85,59.483333333333334,
I4661,,Gx,Aps,,17.85,-74.03333333333333,2.5
6497,,Gx,Dra,14.0,17.85333333333333,59.5,
6505,,Gx,Dra,15.0,17.855,65.55,
6484,,Gx,Her,13.0,17.861666666666668,24.5,
6482,,Gx,Her,11.3,17.863333333333333,23.066666666666666,2.3
6485,,Gx,Her,14.0,17.863333333333333,31.466666666666665,
6455,,-,Sco,,17.866666666666667,-35.38333333333333,
I1269,,Gx,Her,,17.868333333333332,21.566666666666666,1.9
6486,,Gx,Her,15.0,17.876666666666665,29.833333333333332,
6487,,Gx,Her,14.0,17.878333333333334,29.85,
6481,,D*,Oph,,17.88,4.166666666666667,
6465,,,Sgr,,17.881666666666668,-25.4,
6469,,OC,Sgr,8.0,17.881666666666668,-22.35,12.0
6476,,-,Sgr,,17.89666666666667,-29.133333333333333,
6475,M   7,OC,Sco,3.3,17.898333333333333,-34.81666666666667,80.0
6510,,,Dra,,17.9,60.8,
6538,,Gx,Dra,14.0,17.903333333333332,73.41666666666667,
6490,,Gx,Her,14.0,17.908333333333335,18.383333333333333,
6480,,-,Sco,,17.91,-30.433333333333334,
6511,,,Dra,,17.911666666666665,60.8,
6495,,Gx,Her,14.0,17.913333333333334,18.333333333333332,
6512,,Gx,Dra,15.0,17.913333333333334,62.65,
I4670,,Nb,Sgr,,17.918333333333333,-21.8,5.0
I4671,,,Ser,,17.918333333333333,-10.283333333333333,
6516,,Gx,Dra,15.0,17.92,62.666666666666664,
6499,,D*,Her,,17.921666666666667,18.383333333333333,
6521,,Gx,Dra,14.0,17.93,62.61666666666667,
6500,,Gx,Her,13.0,17.933333333333334,18.333333333333332,2.5
6504,,Gx,Her,13.0,17.933333333333334,33.2,2.5
6534,,Gx,Dra,15.0,17.933333333333334,64.31666666666666,
6501,,Gx,Her,12.3,17.935,18.366666666666667,2.0
6494,M  23,OC,Sgr,5.5,17.946666666666665,-19.016666666666666,27.0
6536,,Gx,Dra,14.0,17.955,64.93333333333334,
6515,,Gx,Dra,14.0,17.956666666666667,50.733333333333334,
I4677,,Gx,Dra,15.0,17.971666666666668,66.63333333333334,1.0
6543,,Pl,Dra,9.0,17.976666666666667,66.63333333333334,5.8
6496,,Gb,Sco,9.2,17.983333333333334,-44.266666666666666,6.9
6532,,Gx,Dra,15.0,17.985,56.21666666666667,
6524,,Gx,Her,14.0,17.986666666666668,45.916666666666664,
6509,,Gx,Oph,13.0,17.99,6.283333333333333,2.3
6483,,Gx,Pav,,17.991666666666667,-63.666666666666664,
6513,,Gx,Her,14.0,17.991666666666667,24.9,
6507,,OC,Sgr,10.0,17.993333333333332,-17.4,7.0
6518,,Gx,Her,15.0,17.995,28.866666666666667,
6542,,Gx,Dra,14.0,17.995,61.36666666666667,1.5
6506,,-,Sgr,,17.996666666666666,-24.65,
6552,,Gx,Dra,14.0,18.001666666666665,66.6,
6517,,Gb,Oph,10.3,18.03,-8.966666666666667,4.3
6527,,Gx,Her,15.0,18.03,19.733333333333334,
6525,,-,Oph,,18.035,11.05,
6514,M  20,C+N,Sgr,6.3,18.038333333333334,-23.033333333333335,29.0
6514,Trifid nebula,C+N,Sgr,6.3,18.038333333333334,-23.033333333333335,29.0
I4672,,,Pav,,18.04,-62.833333333333336,
6526,,Nb,Sgr,,18.043333333333333,-23.583333333333332,40.0
6492,,Gx,Pav,,18.046666666666667,-66.41666666666667,
I4676,,Gx,Oph,16.0,18.046666666666667,11.816666666666666,
I4675,,,Oph,,18.053333333333335,-9.25,
I4673,,Pl,Sgr,,18.055,-27.1,0.3
6519,,-,Sgr,,18.05666666666667,-29.8,
6520,,OC,Sgr,8.0,18.05666666666667,-27.9,6.0
6522,,Gb,Sgr,8.6,18.06,-30.033333333333335,5.6
6523,Hourglass nebula,Nb,Sgr,5.8,18.063333333333333,-24.383333333333333,90.0
6523,Lagoon nebula,Nb,Sgr,5.8,18.063333333333333,-24.383333333333333,90.0
6523,M   8,Nb,Sgr,5.8,18.063333333333333,-24.383333333333333,90.0
6535,,Gb,Ser,10.6,18.063333333333333,-0.3,3.6
6502,,Gx,Pav,,18.07,-65.41666666666667,1.2
6531,M  21,OC,Sgr,5.9,18.076666666666668,-22.5,13.0
6528,,Gb,Sgr,9.5,18.08,-30.05,3.7
6530,,OC,Sgr,4.6,18.08,-24.333333333333332,15.0
6539,,Gb,Ser,9.6,18.08,-7.583333333333333,6.9
6562,,Gx,Dra,14.0,18.081666666666667,56.25,
I1272,,OC,Her,,18.081666666666667,25.083333333333332,
I1273,,OC,Her,,18.083333333333332,25.116666666666667,
6533,,-,Sgr,,18.085,-24.883333333333333,
6547,,Gx,Her,14.0,18.085,25.216666666666665,
6537,,Pl,Sgr,13.0,18.086666666666666,-19.85,0.2
6560,,Gx,Her,14.0,18.088333333333335,46.86666666666667,1.3
6529,,-,Sgr,,18.091666666666665,-36.3,
I1271,,,Sgr,,18.091666666666665,-24.45,
6549,,Gx,Her,15.0,18.096666666666668,18.533333333333335,
6548,,Gx,Her,13.0,18.1,18.583333333333332,
6550,,Gx,Her,13.0,18.1,18.583333333333332,
6540,,OC,Sgr,15.0,18.105,-27.816666666666666,1.0
6566,,Gx,Dra,15.0,18.116666666666667,52.266666666666666,
6546,,OC,Sgr,8.0,18.12,-23.333333333333332,13.0
6544,,Gb,Sgr,8.3,18.121666666666666,-25.0,8.9
6555,,Gx,Her,12.0,18.13,17.6,2.1
6541,,Gb,CrA,6.6,18.133333333333333,-43.7,13.1
I4678,,,Sgr,,18.133333333333333,-23.866666666666667,
I4688,,Gx,Oph,15.0,18.135,11.7,1.6
I4674,,Gx,Pav,,18.136666666666667,-62.4,1.5
I4681,,,Sgr,,18.138333333333332,-23.4,
I4683,,,Sgr,,18.145,-26.233333333333334,
I4691,,Gx,Oph,15.0,18.145,11.833333333333334,
6598,,Gx,Dra,14.0,18.14666666666667,69.06666666666666,
6551,,-,Sgr,,18.15,-29.55,
6554,,-,Sgr,,18.151666666666667,-18.433333333333334,
6564,,-,Her,,18.151666666666667,17.4,
I4684,,Nb,Sgr,,18.151666666666667,-23.416666666666668,3.0
I4693,,,Her,,18.153333333333332,17.333333333333332,
6553,,Gb,Sgr,8.3,18.155,-25.9,8.1
I4685,,Nb,Sgr,,18.155,-23.983333333333334,10.0
I1274,,Nb,Sgr,,18.158333333333335,-23.733333333333334,9.0
6592,,Gx,Dra,15.0,18.165,61.416666666666664,
6556,,,Sgr,,18.166666666666668,-27.516666666666666,
6559,,Nb,Sgr,,18.166666666666668,-24.1,8.0
I1275,,Nb,Sgr,,18.166666666666668,-23.833333333333332,10.0
6594,,Gx,Dra,15.0,18.17,61.11666666666667,
I1277,,OC,Her,,18.17,31.0,
6558,,Gb,Sgr,,18.171666666666667,-31.766666666666666,3.7
6561,,-,Sgr,,18.175,-16.8,
I1278,,,Her,,18.175,31.15,
I4690,,,Sgr,,18.175,-19.816666666666666,
I1276,,Gb,Ser,,18.178333333333335,-7.2,7.1
6575,,Gx,Her,14.0,18.18,31.083333333333332,
6571,,Gx,Her,15.0,18.18166666666667,21.233333333333334,
6582,,Gx,Her,15.0,18.183333333333334,49.88333333333333,
6570,,Gx,Oph,13.0,18.185,14.1,1.8
